=== EXECUÇÃO 1 ===
Cozinheiro 4 terminou pedido=78
Cozinheiro 4 preparando pedido=83
Cozinheiro 3 terminou pedido=80
Cozinheiro 3 preparando pedido=84
Cozinheiro 1 terminou pedido=79
Cozinheiro 1 preparando pedido=85
Cozinheiro 0 terminou pedido=81
Cozinheiro 0 preparando pedido=86
Cozinheiro 1 terminou pedido=85
Cozinheiro 1 preparando pedido=87
Cozinheiro 0 terminou pedido=86
Cozinheiro 0 preparando pedido=88
Cozinheiro 4 terminou pedido=83
Cozinheiro 4 preparando pedido=89
Cozinheiro 3 terminou pedido=84
Cozinheiro 3 preparando pedido=90
Cozinheiro 4 terminou pedido=89
Cozinheiro 4 preparando pedido=91
Cozinheiro 2 terminou pedido=82
Cozinheiro 2 preparando pedido=92
Cozinheiro 1 terminou pedido=87
Cozinheiro 1 preparando pedido=93
Cozinheiro 0 terminou pedido=88
Cozinheiro 0 preparando pedido=94
Cozinheiro 3 terminou pedido=90
Cozinheiro 3 preparando pedido=95
Cozinheiro 2 terminou pedido=92
Cozinheiro 2 preparando pedido=96
Cozinheiro 4 terminou pedido=91
Cozinheiro 4 preparando pedido=97
Cozinheiro 2 terminou pedido=96
Cozinheiro 2 preparando pedido=98
Cozinheiro 3 terminou pedido=95
Cozinheiro 3 preparando pedido=99
Cozinheiro 4 terminou pedido=97
Cozinheiro 1 terminou pedido=93
Cozinheiro 0 terminou pedido=94
Cozinheiro 3 terminou pedido=99
Cozinheiro 2 terminou pedido=98

Tempo total: 6.3636620044708 segundos
Cozinheiro 0 atendeu os pedidos: 0, 7, 12, 15, 24, 27, 31, 37, 44, 52, 56, 60, 64, 66, 72, 76, 81, 86, 88, 94
Cozinheiro 1 atendeu os pedidos: 1, 10, 19, 23, 26, 32, 36, 39, 46, 53, 57, 62, 68, 73, 79, 85, 87, 93
Cozinheiro 2 atendeu os pedidos: 2, 8, 9, 14, 17, 22, 28, 34, 40, 43, 45, 49, 55, 63, 69, 70, 77, 82, 92, 96, 98
Cozinheiro 3 atendeu os pedidos: 3, 5, 13, 20, 25, 30, 35, 41, 47, 54, 58, 67, 74, 75, 80, 84, 90, 95, 99
Cozinheiro 4 atendeu os pedidos: 4, 6, 11, 16, 18, 21, 29, 33, 38, 42, 48, 50, 51, 59, 61, 65, 71, 78, 83, 89, 91, 97

=== VALIDAÇÃO DE INTEGRIDADE ===
Total de pedidos processados: 100
Esperado: 100 pedidos
✓ Todos os pedidos foram processados
✓ Nenhum pedido foi duplicado
✓ Nenhum pedido foi perdido
✓ A fila de pedidos terminou vazia
✓ Soma matemática correta (esperada: 4950, obtida: 4950)
================================


=== EXECUÇÃO 2 ===
Cozinheiro 0 pronto para receber pedidos!
Cozinheiro 0 preparando pedido=0
Cozinheiro 1 pronto para receber pedidos!
Cozinheiro 1 preparando pedido=1
Cozinheiro 2 pronto para receber pedidos!
Cozinheiro 2 preparando pedido=2
Cozinheiro 3 pronto para receber pedidos!
Cozinheiro 3 preparando pedido=3
Cozinheiro 4 pronto para receber pedidos!
Cozinheiro 4 preparando pedido=4
Cozinheiro 1 terminou pedido=1
Cozinheiro 1 preparando pedido=5
Cozinheiro 4 terminou pedido=4
Cozinheiro 4 preparando pedido=6
Cozinheiro 1 terminou pedido=5
Cozinheiro 1 preparando pedido=7
Cozinheiro 0 terminou pedido=0
Cozinheiro 0 preparando pedido=8
Cozinheiro 2 terminou pedido=2
Cozinheiro 2 preparando pedido=9
Cozinheiro 3 terminou pedido=3
Cozinheiro 3 preparando pedido=10
Cozinheiro 0 terminou pedido=8
Cozinheiro 0 preparando pedido=11
Cozinheiro 1 terminou pedido=7
Cozinheiro 1 preparando pedido=12
Cozinheiro 4 terminou pedido=6
Cozinheiro 4 preparando pedido=13
Cozinheiro 3 terminou pedido=10
Cozinheiro 3 preparando pedido=14
Cozinheiro 0 terminou pedido=11
Cozinheiro 0 preparando pedido=15
Cozinheiro 0 terminou pedido=15
Cozinheiro 0 preparando pedido=16
Cozinheiro 2 terminou pedido=9
Cozinheiro 2 preparando pedido=17
Cozinheiro 4 terminou pedido=13
Cozinheiro 4 preparando pedido=18
Cozinheiro 0 terminou pedido=16
Cozinheiro 0 preparando pedido=19
Cozinheiro 1 terminou pedido=12
Cozinheiro 1 preparando pedido=20
Cozinheiro 1 terminou pedido=20
Cozinheiro 1 preparando pedido=21
Cozinheiro 3 terminou pedido=14
Cozinheiro 3 preparando pedido=22
Cozinheiro 1 terminou pedido=21
Cozinheiro 1 preparando pedido=23
Cozinheiro 2 terminou pedido=17
Cozinheiro 2 preparando pedido=24
Cozinheiro 4 terminou pedido=18
Cozinheiro 4 preparando pedido=25
Cozinheiro 0 terminou pedido=19
Cozinheiro 0 preparando pedido=26
Cozinheiro 3 terminou pedido=22
Cozinheiro 3 preparando pedido=27
Cozinheiro 1 terminou pedido=23
Cozinheiro 1 preparando pedido=28
Cozinheiro 4 terminou pedido=25
Cozinheiro 4 preparando pedido=29
Cozinheiro 4 terminou pedido=29
Cozinheiro 4 preparando pedido=30
Cozinheiro 2 terminou pedido=24
Cozinheiro 2 preparando pedido=31
Cozinheiro 1 terminou pedido=28
Cozinheiro 1 preparando pedido=32
Cozinheiro 4 terminou pedido=30
Cozinheiro 4 preparando pedido=33
Cozinheiro 3 terminou pedido=27
Cozinheiro 0 terminou pedido=26
Cozinheiro 3 preparando pedido=34
Cozinheiro 0 preparando pedido=35
Cozinheiro 4 terminou pedido=33
Cozinheiro 4 preparando pedido=36
Cozinheiro 1 terminou pedido=32
Cozinheiro 1 preparando pedido=37
Cozinheiro 3 terminou pedido=34
Cozinheiro 3 preparando pedido=38
Cozinheiro 1 terminou pedido=37
Cozinheiro 1 preparando pedido=39
Cozinheiro 2 terminou pedido=31
Cozinheiro 2 preparando pedido=40
Cozinheiro 0 terminou pedido=35
Cozinheiro 0 preparando pedido=41
Cozinheiro 3 terminou pedido=38
Cozinheiro 3 preparando pedido=42
Cozinheiro 1 terminou pedido=39
Cozinheiro 1 preparando pedido=43
Cozinheiro 4 terminou pedido=36
Cozinheiro 4 preparando pedido=44
Cozinheiro 2 terminou pedido=40
Cozinheiro 2 preparando pedido=45
Cozinheiro 0 terminou pedido=41
Cozinheiro 0 preparando pedido=46
Cozinheiro 3 terminou pedido=42
Cozinheiro 3 preparando pedido=47
Cozinheiro 4 terminou pedido=44
Cozinheiro 4 preparando pedido=48
Cozinheiro 3 terminou pedido=47
Cozinheiro 3 preparando pedido=49
Cozinheiro 1 terminou pedido=43
Cozinheiro 1 preparando pedido=50
Cozinheiro 0 terminou pedido=46
Cozinheiro 0 preparando pedido=51
Cozinheiro 2 terminou pedido=45
Cozinheiro 2 preparando pedido=52
Cozinheiro 0 terminou pedido=51
Cozinheiro 0 preparando pedido=53
Cozinheiro 3 terminou pedido=49
Cozinheiro 3 preparando pedido=54
Cozinheiro 4 terminou pedido=48
Cozinheiro 4 preparando pedido=55
Cozinheiro 1 terminou pedido=50
Cozinheiro 1 preparando pedido=56
Cozinheiro 2 terminou pedido=52
Cozinheiro 2 preparando pedido=57
Cozinheiro 0 terminou pedido=53
Cozinheiro 0 preparando pedido=58
Cozinheiro 3 terminou pedido=54
Cozinheiro 3 preparando pedido=59
Cozinheiro 4 terminou pedido=55
Cozinheiro 4 preparando pedido=60
Cozinheiro 1 terminou pedido=56
Cozinheiro 1 preparando pedido=61
Cozinheiro 0 terminou pedido=58
Cozinheiro 0 preparando pedido=62
Cozinheiro 2 terminou pedido=57
Cozinheiro 2 preparando pedido=63
Cozinheiro 3 terminou pedido=59
Cozinheiro 3 preparando pedido=64
Cozinheiro 2 terminou pedido=63
Cozinheiro 2 preparando pedido=65
Cozinheiro 4 terminou pedido=60
Cozinheiro 4 preparando pedido=66
Cozinheiro 1 terminou pedido=61
Cozinheiro 1 preparando pedido=67
Cozinheiro 0 terminou pedido=62
Cozinheiro 0 preparando pedido=68
Cozinheiro 2 terminou pedido=65
Cozinheiro 2 preparando pedido=69
Cozinheiro 3 terminou pedido=64
Cozinheiro 3 preparando pedido=70
Cozinheiro 4 terminou pedido=66
Cozinheiro 4 preparando pedido=71
Cozinheiro 2 terminou pedido=69
Cozinheiro 2 preparando pedido=72
Cozinheiro 1 terminou pedido=67
Cozinheiro 1 preparando pedido=73
Cozinheiro 2 terminou pedido=72
Cozinheiro 2 preparando pedido=74
Cozinheiro 0 terminou pedido=68
Cozinheiro 0 preparando pedido=75
Cozinheiro 3 terminou pedido=70
Cozinheiro 3 preparando pedido=76
Cozinheiro 4 terminou pedido=71
Cozinheiro 4 preparando pedido=77
Cozinheiro 2 terminou pedido=74
Cozinheiro 2 preparando pedido=78
Cozinheiro 0 terminou pedido=75
Cozinheiro 0 preparando pedido=79
Cozinheiro 1 terminou pedido=73
Cozinheiro 1 preparando pedido=80
Cozinheiro 3 terminou pedido=76
Cozinheiro 3 preparando pedido=81
Cozinheiro 2 terminou pedido=78
Cozinheiro 2 preparando pedido=82
Cozinheiro 0 terminou pedido=79
Cozinheiro 0 preparando pedido=83
Cozinheiro 3 terminou pedido=81
Cozinheiro 3 preparando pedido=84
Cozinheiro 4 terminou pedido=77
Cozinheiro 4 preparando pedido=85
Cozinheiro 1 terminou pedido=80
Cozinheiro 1 preparando pedido=86
Cozinheiro 3 terminou pedido=84
Cozinheiro 3 preparando pedido=87
Cozinheiro 4 terminou pedido=85
Cozinheiro 4 preparando pedido=88
Cozinheiro 0 terminou pedido=83
Cozinheiro 0 preparando pedido=89
Cozinheiro 2 terminou pedido=82
Cozinheiro 2 preparando pedido=90
Cozinheiro 1 terminou pedido=86
Cozinheiro 1 preparando pedido=91
Cozinheiro 4 terminou pedido=88
Cozinheiro 4 preparando pedido=92
Cozinheiro 0 terminou pedido=89
Cozinheiro 0 preparando pedido=93
Cozinheiro 4 terminou pedido=92
